"state","county","party","candidate","if_candidate_won_in_county","number_of_votes_in_county","all_county_votes_cast","all_possible_county_votes","number_of_wins_in_state","number_of_votes_in_state","all_possible_state_votes","if_candidate_won_in_state","cenzus_region","cenzus_subregion"
Colorado,Baca County,GRN,Howie Hawkins,false,3,2225,2225,0,8986,3256953,false,West,Mountain
Colorado,Baca County,CST,Don Blankenship,false,2,2225,2225,0,5061,3256953,false,West,Mountain
Colorado,Baca County,APV,Blake Huber,false,2,2225,2225,0,355,3256953,false,West,Mountain
Colorado,Baca County,PRO,Phil Collins,false,1,2225,2225,0,568,3256953,false,West,Mountain
Colorado,Baca County,PRG,Dario Hunter,false,0,2225,2225,0,379,3256953,false,West,Mountain
Colorado,Baca County,UNA,Joe McHugh,false,0,2225,2225,0,614,3256953,false,West,Mountain
Colorado,Baca County,IAP,Kyle Kopitke,false,0,2225,2225,0,762,3256953,false,West,Mountain
Colorado,Baca County,SWP,Alyson Kennedy,false,0,2225,2225,0,354,3256953,false,West,Mountain
Colorado,Baca County,IND,Brock Pierce,false,0,2225,2225,0,572,3256953,false,West,Mountain
Colorado,Baca County,IND,Mark Charles,false,0,2225,2225,0,2011,3256953,false,West,Mountain
Colorado,Baca County,UNA,Jordan Scott,false,0,2225,2225,0,175,3256953,false,West,Mountain
Colorado,Baca County,ALI,Rocky De La Fuente,false,0,2225,2225,0,636,3256953,false,West,Mountain
Colorado,Baca County,UTY,Bill Hammons,false,0,2225,2225,0,2730,3256953,false,West,Mountain
Colorado,Baca County,PSL,Gloria La Riva,false,0,2225,2225,0,1035,3256953,false,West,Mountain
Colorado,Baca County,SEP,Joseph Kishore,false,0,2225,2225,0,196,3256953,false,West,Mountain
Colorado,Baca County,UNA,Princess Jacob-Fambro,false,0,2225,2225,0,495,3256953,false,West,Mountain
Colorado,Baca County,WRI, Write-ins,false,0,2225,2225,0,0,3256953,false,West,Mountain
Colorado,Bent County,REP,Donald Trump,true,1503,2274,2274,40,1364607,3256953,false,West,Mountain
Colorado,Bent County,DEM,Joe Biden,false,732,2274,2274,24,1804352,3256953,true,West,Mountain
Colorado,Bent County,LIB,Jo Jorgensen,false,15,2274,2274,0,52460,3256953,false,West,Mountain
Colorado,Bent County,IND,Kanye West,false,7,2274,2274,0,8089,3256953,false,West,Mountain
Colorado,Bent County,GRN,Howie Hawkins,false,6,2274,2274,0,8986,3256953,false,West,Mountain
Colorado,Bent County,CST,Don Blankenship,false,5,2274,2274,0,5061,3256953,false,West,Mountain
Colorado,Bent County,ALI,Rocky De La Fuente,false,3,2274,2274,0,636,3256953,false,West,Mountain
Colorado,Bent County,SEP,Joseph Kishore,false,1,2274,2274,0,196,3256953,false,West,Mountain
Colorado,Bent County,APV,Blake Huber,false,1,2274,2274,0,355,3256953,false,West,Mountain
Colorado,Bent County,IND,Brock Pierce,false,1,2274,2274,0,572,3256953,false,West,Mountain
Colorado,Bent County,PRG,Dario Hunter,false,0,2274,2274,0,379,3256953,false,West,Mountain
Colorado,Bent County,UNA,Jordan Scott,false,0,2274,2274,0,175,3256953,false,West,Mountain
Colorado,Bent County,UNA,Princess Jacob-Fambro,false,0,2274,2274,0,495,3256953,false,West,Mountain
Colorado,Bent County,UTY,Bill Hammons,false,0,2274,2274,0,2730,3256953,false,West,Mountain
